Champion,Role,Pickrate,Winrate,Banrate,Kills,Deaths,Assists,Pentakills
Swain,"Support, Mid",5.20%,50.30%,2.10%,4.9,6.3,10.4,0.0005
Poppy,"Support, Jungler, Top",5.20%,51.30%,4.80%,4.4,5.9,9.6,0.0001
Cho'Gath,"Top, Mid",5.20%,50.90%,1.90%,6.2,5.7,6,0.0001
Gragas,Top,5.20%,49.80%,1.60%,5,5.2,7.2,0.0001
Soraka,Support,5.20%,51.30%,2.30%,0.9,5.4,14.5,0
Katarina,Mid,5.10%,49.20%,5.00%,9.4,6.5,5.5,0.0064
Aphelios,AD Carry,5.10%,49.50%,1.30%,7.3,6.5,5.2,0.0047
Morgana,Support,5.10%,50.00%,18.40%,3.2,6.1,12.6,0
Teemo,Top,5.00%,51.30%,7.50%,5.2,6.4,6.2,0.0003
Riven,Top,5.00%,50.00%,2.20%,6.6,6,4.5,0.0015
Syndra,Mid,4.90%,49.80%,3.70%,6.2,5.6,6.2,0.0006
Elise,"Jungler, Support",4.90%,50.30%,5.60%,7,6.3,8,0.0003
Senna,Support,4.90%,50.00%,1.00%,3.2,6,13.2,0.0001
Vel'Koz,"Support, Mid",4.90%,51.10%,1.10%,5.4,6.3,9.3,0.0002
Veigar,Mid,4.80%,50.80%,1.20%,6.3,5.6,6.3,0.0007
Dr. Mundo,"Top, Jungler",4.80%,51.00%,2.40%,4.4,5,6.2,0.0005
Zyra,"Support, Jungler",4.70%,50.70%,3.60%,3.6,6.2,10.6,0.0001
Twisted Fate,Mid,4.70%,49.60%,0.50%,4.6,5.5,8.3,0.0002
Gangplank,Top,4.70%,49.10%,2.70%,6,5.7,5.8,0.0014
Ambessa,Top,4.60%,48.70%,9.70%,5.6,5.6,5.2,0.0007
Draven,AD Carry,4.50%,48.70%,15.90%,8,6.8,5.3,0.0035
Rakan,Support,4.50%,49.40%,0.40%,1.5,5.5,14.3,0
Zac,Jungler,4.50%,49.00%,1.60%,4.8,5,10.3,0
Ryze,"Mid, Top",4.50%,50.30%,0.70%,5.2,5.2,6.1,0.0008
Rell,Support,4.40%,50.40%,2.00%,2.1,6.1,15.6,0
Nidalee,"Jungler, Top",4.40%,44.80%,2.10%,5.9,5.6,7.1,0.0006
Kayle,"Top, Mid",4.40%,52.20%,2.20%,5.5,5.9,5.3,0.0024
Brand,Support,4.30%,49.90%,2.80%,4.9,7.1,9.3,0.0002
Fiora,Top,4.30%,50.50%,5.10%,5.5,6.3,3.9,0.0007
Seraphine,Support,4.30%,49.90%,0.70%,3,5.7,12.6,0.0001
Samira,AD Carry,4.30%,49.70%,6.20%,9.8,7,5.2,0.0158
Ornn,Top,4.10%,51.60%,0.60%,3.7,4.9,8.3,0
Wukong,"Jungler, Top",4.10%,51.50%,1.20%,6.6,5.4,7.1,0.0008
Twitch,AD Carry,4.10%,50.20%,3.40%,9.4,6.7,6.2,0.0067
Nasus,Top,4.10%,50.70%,4.10%,4.8,5.3,5.3,0.0005
Gnar,Top,4.10%,48.80%,1.30%,4.9,5.8,5.8,0.0003
Hecarim,Jungler,4.00%,49.40%,2.50%,7.1,5.5,7.9,0.0017
Amumu,Jungler,4.00%,50.40%,2.40%,4.6,6.3,10.5,0.0002
Sivir,AD Carry,3.90%,51.00%,0.80%,5.8,5.6,7.9,0.0025
Azir,Mid,3.80%,47.40%,0.60%,5.1,5.7,5.8,0.0018
Taliyah,Mid,3.80%,50.70%,0.90%,5.6,5.9,8.4,0.0004
Janna,Support,3.80%,52.20%,1.00%,1.6,4.9,14.5,0
Sejuani,Jungler,3.80%,49.10%,0.50%,4.4,5,10.8,0.0001
Zeri,AD Carry,3.70%,49.60%,0.50%,7.4,5.9,6.3,0.0073
Neeko,Support,3.70%,49.70%,1.20%,4,6,9.9,0.0003
Aurora,Mid,3.60%,47.70%,4.60%,6.1,5.3,6.4,0.001
Kennen,"Top, Mid",3.60%,50.00%,1.20%,5.9,6,6.1,0.0006
Camille,Top,3.50%,49.70%,1.50%,6.1,6.3,5.7,0.0007
Bard,Support,3.40%,50.40%,0.70%,3.1,5.7,13.8,0
Tahm Kench,"Support, Top",3.40%,49.10%,2.00%,4.1,5.9,9.7,0.0001
Lissandra,Mid,3.30%,50.80%,1.50%,5.2,5.8,8.7,0.0003
Urgot,Top,3.30%,51.90%,1.20%,6.8,5.8,4.7,0.0005
Briar,Jungler,3.30%,50.90%,3.60%,8.2,7.1,7.4,0.0009
Anivia,Mid,3.30%,52.40%,2.50%,5.1,4.6,7.5,0.0003
Nunu & Willump,Jungler,3.30%,50.40%,0.80%,5.1,6.2,11.2,0.0003
Sona,Support,3.20%,52.30%,0.20%,2.1,5.5,14.1,0
Tryndamere,Top,3.10%,49.20%,2.10%,5.7,6,4.1,0.0004
K'Sante,Top,3.00%,46.30%,2.40%,4.3,5,5.8,0.0002
Corki,"AD Carry, Mid",3.00%,48.00%,1.00%,6.9,5.8,6.7,0.001
Vex,Mid,3.00%,51.20%,3.40%,6.6,5.9,7.3,0.0009
Rengar,Jungler,3.00%,46.10%,2.00%,8,6.5,5.8,0.0013
Fizz,Mid,3.00%,48.20%,3.80%,8.2,6.1,5.4,0.0008
Kindred,Jungler,2.90%,48.90%,2.00%,7.6,6.3,6.5,0.0028
Trundle,"Top, Jungler",2.90%,50.80%,0.90%,4.9,6.4,5.3,0.0002
Quinn,"Top, Mid",2.80%,52.60%,1.70%,7.9,7,6.5,0.0009
Singed,Top,2.80%,51.50%,0.80%,4.4,6.5,7.6,0.0007
Maokai,Support,2.80%,51.20%,0.40%,2.7,5.9,12.1,0
